experiment,unit,unit_number,id_1,id_2,id_3,time,DaySEC,wholeseconds,HoursFromMID,date,salinity,pHat25C,fileName,unit_ID,alk,insituTemp,pH,dateString,treatName,treatpH,treatTemp,treatOther,dic
Krill,MOATS,1,Day,NA,Fasting,0.375694444,86400,32459.99996,9.016666656,10/8/19,30.25,7.429049481,specPH.2019.10.09_daybefore10.xlsx,MOATS_1,2045.44225,13,7.583752362,10/8/19,HighTemperature,7.64,13,,2025.417835
Krill,MOATS,1,Day,NA,Fasting,0.376388889,86400,32520.00001,9.033333336,10/8/19,30.25,7.429049481,specPH.2019.10.09_daybefore10.xlsx,MOATS_1,2045.44225,13,7.583752362,10/8/19,HighTemperature,7.64,13,,2025.417835
Krill,MOATS,2,Day,NA,Fasting,0.377083333,86400,32579.99997,9.049999992,10/8/19,30.25,7.379805452,specPH.2019.10.09_daybefore10.xlsx,MOATS_2,2045.44225,13,7.530516839,10/8/19,AllChange,7.5,13,,2039.510177
Krill,MOATS,2,Day,NA,Fasting,0.379166667,86400,32760.00003,9.100000008,10/8/19,30.25,7.380944197,specPH.2019.10.09_daybefore10.xlsx,MOATS_2,2045.44225,13,7.531748616,10/8/19,AllChange,7.5,13,,2039.183788
Krill,MOATS,3,Day,NA,Fasting,0.380555556,86400,32880.00004,9.133333344,10/8/19,30.25,7.476787508,specPH.2019.10.09_daybefore10.xlsx,MOATS_3,2045.44225,11,7.663140702,10/8/19,Current,7.64,11,,2011.706826
Krill,MOATS,3,Day,NA,Fasting,0.381944444,86400,32999.99996,9.166666656,10/8/19,30.25,7.489930998,specPH.2019.10.09_daybefore10.xlsx,MOATS_3,2045.44225,11,7.677431045,10/8/19,Current,7.64,11,,2007.905225
Krill,MOATS,4,Day,NA,Fasting,0.381944444,86400,32999.99996,9.166666656,10/8/19,30.25,7.560364106,specPH.2019.10.09_daybefore10.xlsx,MOATS_4,2045.44225,11,7.753653258,10/8/19,Ambient,7.9,11,,1987.184738
Krill,MOATS,4,Day,NA,Fasting,0.382638889,86400,33060.00001,9.183333336,10/8/19,30.25,7.570170939,specPH.2019.10.09_daybefore10.xlsx,MOATS_4,2045.44225,11,7.764212495,10/8/19,Ambient,7.9,11,,1984.238966
Krill,MOATS,5,Day,NA,Fasting,0.382638889,86400,33060.00001,9.183333336,10/8/19,30.25,7.57927954,specPH.2019.10.09_daybefore10.xlsx,MOATS_5,2045.44225,11,7.774007261,10/8/19,Ambient,7.9,11,,1981.486726
Krill,MOATS,5,Day,NA,Fasting,0.383333333,86400,33119.99997,9.199999992,10/8/19,30.25,7.587362389,specPH.2019.10.09_daybefore10.xlsx,MOATS_5,2045.44225,11,7.782688636,10/8/19,Ambient,7.9,11,,1979.030663
Krill,MOATS,6,Day,NA,Fasting,0.384027778,86400,33180.00002,9.216666672,10/8/19,30.25,7.47794973,specPH.2019.10.09_daybefore10.xlsx,MOATS_6,2045.44225,13,7.636489852,10/8/19,HighTemperature,7.64,13,,2011.371267
Krill,MOATS,6,Day,NA,Fasting,0.385416667,86400,33300.00003,9.250000008,10/8/19,30.25,7.474903968,specPH.2019.10.09_daybefore10.xlsx,MOATS_6,2045.44225,13,7.633210409,10/8/19,HighTemperature,7.64,13,,2012.250416
Krill,MOATS,7,Day,NA,Fasting,0.386805556,86400,33420.00004,9.283333344,10/8/19,30.25,7.516364068,specPH.2019.10.09_daybefore10.xlsx,MOATS_7,2045.44225,11,7.70611145,10/8/19,Current,7.64,11,,2000.206775
Krill,MOATS,7,Day,NA,Fasting,0.388888889,86400,33600.00001,9.333333336,10/8/19,30.25,7.512680088,specPH.2019.10.09_daybefore10.xlsx,MOATS_7,2045.44225,11,7.702119303,10/8/19,Current,7.64,11,,2001.284544
