Date,MOATS,Treatment,Time,Temp,Sensor,actualDOmg,Period
10/2/19,1,HighTemp,8:31,12.58,MOATS,5.331,day
10/2/19,4,Ambient,8:33,10.4,MOATS,9.338,day
10/2/19,5,Ambient,8:35,10.4,MOATS,9.338,day
10/2/19,6,HighTemp,8:36,12.82,MOATS,5.309,day
10/2/19,3,Current,9:20,10.95,MOATS,5.964,day
10/2/19,7,Current,9:25,10.93,MOATS,5.299,day
10/2/19,10,Current,9:28,10.94,MOATS,5.48,day
10/2/19,12,Current,9:30,10.77,MOATS,5.398,day
10/2/19,1,HighTemp,8:31,12.58,PreSens,5.55,day
10/2/19,4,Ambient,8:33,10.4,PreSens,8.96,day
10/2/19,5,Ambient,8:35,10.4,PreSens,8.96,day
10/2/19,6,HighTemp,8:36,12.82,PreSens,5.91,day
10/2/19,3,Current,9:20,10.95,PreSens,6.29,day
10/2/19,7,Current,9:25,10.93,PreSens,5.81,day
10/2/19,10,Current,9:28,10.94,PreSens,6.01,day
10/2/19,12,Current,9:30,10.77,PreSens,6.31,day
10/4/19,1,HighTemp,8:10,12.63,MOATS,5.328,day
10/4/19,2,AllChange,8:30,12.89,MOATS,4.46,day
10/4/19,3,Current,9:31,11.03,MOATS,5.737,day
10/4/19,4,Ambient,9:44,11.37,MOATS,9.158,day
10/4/19,5,Ambient,9:48,11.6,MOATS,8.278,day
10/4/19,6,HighTemp,8:20,12.92,MOATS,5.573,day
10/4/19,7,Current,9:24,11.03,MOATS,5.51,day
10/4/19,8,AllChange,8:40,12.88,MOATS,4.42,day
10/4/19,10,Current,9:05,11.04,MOATS,5.627,day
10/4/19,11,HighTemp,9:56,12.92,MOATS,9.04,day
10/4/19,12,Current,8:58,11.07,MOATS,5.5,day
10/4/19,13,AllChange,8:50,12.71,MOATS,4.4,day
10/4/19,1,HighTemp,8:10,12.63,PreSens,5.26,day
10/4/19,2,AllChange,8:30,12.89,PreSens,4.94,day
10/4/19,3,Current,9:31,11.03,PreSens,5.86,day
10/4/19,4,Ambient,9:44,11.37,PreSens,8.78,day
10/4/19,5,Ambient,9:48,11.6,PreSens,8.89,day
10/4/19,6,HighTemp,8:20,12.92,PreSens,5.72,day
10/4/19,7,Current,9:24,11.03,PreSens,5.98,day
10/4/19,8,AllChange,8:40,12.88,PreSens,4.62,day
10/4/19,10,Current,9:05,11.04,PreSens,5.98,day
10/4/19,11,HighTemp,9:56,12.92,PreSens,9.04,day
10/4/19,12,Current,8:58,11.07,PreSens,5.61,day
10/4/19,13,AllChange,8:50,12.71,PreSens,4.68,day
10/7/19,1,HighTemp,8:25,12.71,MOATS,5.354,day
10/7/19,2,AllChange,8:36,12.9,MOATS,4.371,day
10/7/19,3,Current,8:46,10.96,MOATS,5.3,day
10/7/19,4,Ambient,10:10,11.85,MOATS,9.021,day
10/7/19,5,Ambient,10:15,12,MOATS,8.116,day
10/7/19,6,HighTemp,8:55,12.91,MOATS,5.477,day
10/7/19,7,Current,9:05,11.19,MOATS,5.474,day
10/7/19,8,AllChange,9:15,12.88,MOATS,4.372,day
10/7/19,10,Current,9:27,11.1,MOATS,5.455,day
10/7/19,11,HighTemp,10:05,12.94,MOATS,8.45,day
10/7/19,12,Current,9:37,10.97,MOATS,5.449,day
10/7/19,13,AllChange,9:47,12.9,MOATS,4.45,day
10/7/19,1,HighTemp,8:25,12.71,PreSens,5.38,day
10/7/19,2,AllChange,8:36,12.9,PreSens,5.15,day
10/7/19,3,Current,8:46,10.96,PreSens,6.14,day
10/7/19,4,Ambient,10:10,11.85,PreSens,8.65,day
10/7/19,5,Ambient,10:15,12,PreSens,8.64,day
10/7/19,6,HighTemp,8:55,12.91,PreSens,5.63,day
10/7/19,7,Current,9:05,11.19,PreSens,5.36,day
10/7/19,8,AllChange,9:15,12.88,PreSens,4.49,day
10/7/19,10,Current,9:27,11.1,PreSens,5.85,day
10/7/19,11,HighTemp,10:05,12.94,PreSens,8.45,day
10/7/19,12,Current,9:37,10.97,PreSens,5.71,day
10/7/19,13,AllChange,9:47,12.9,PreSens,4.72,day
10/17/19,2,AllChange,9:22,12.66,MOATS,5.54,day
10/17/19,4,Ambient,9:22,10.99,MOATS,9.07,day
10/17/19,5,Ambient,9:23,10.99,MOATS,8.153,day
10/17/19,8,AllChange,9:23,12.81,MOATS,4.725,day
10/17/19,13,AllChange,9:24,12.71,MOATS,4.334,day
10/17/19,2,AllChange,9:25,12.66,PreSens,5.54,day
10/17/19,4,Ambient,9:26,10.99,PreSens,9.07,day
10/17/19,5,Ambient,9:27,10.99,PreSens,8.153,day
10/17/19,8,AllChange,9:27,12.81,PreSens,4.725,day
10/17/19,13,AllChange,9:30,12.71,PreSens,4.334,day
10/18/19,1,HighTemp,9:31,12.86,MOATS,5.35,day
10/18/19,2,AllChange,9:38,12.61,MOATS,5.298,day
10/18/19,6,HighTemp,9:31,12.7,MOATS,5.561,day
10/18/19,8,AllChange,9:41,12.88,MOATS,4.998,day
10/18/19,13,AllChange,9:41,12.55,MOATS,4.707,day
10/18/19,1,HighTemp,9:31,12.86,PreSens,6.48,day
10/18/19,2,AllChange,9:38,12.61,PreSens,6.51,day
10/18/19,6,HighTemp,9:31,12.7,PreSens,6.51,day
10/18/19,8,AllChange,9:41,12.88,PreSens,6.39,day
10/18/19,13,AllChange,9:41,12.55,PreSens,5.7,day
10/21/19,1,HighTemp,9:21,13.19,MOATS,5.775,day
10/21/19,2,AllChange,9:23,13.08,MOATS,8.507,day
10/21/19,6,HighTemp,9:22,13.04,MOATS,5.493,day
10/21/19,7,Current,9:53,11.18,MOATS,,day
10/21/19,8,AllChange,9:25,13.06,MOATS,4.419,day
10/21/19,10,Current,9:53,11.86,MOATS,,day
10/21/19,13,AllChange,9:26,12.98,MOATS,5.745,day
10/21/19,1,HighTemp,9:21,13.19,PreSens,6.13,day
10/21/19,2,AllChange,9:23,13.08,PreSens,8.22,day
10/21/19,6,HighTemp,9:22,13.04,PreSens,6.59,day
10/21/19,7,Current,9:53,11.18,PreSens,9.29,day
10/21/19,8,AllChange,9:25,13.06,PreSens,5.95,day
10/21/19,10,Current,9:53,11.86,PreSens,9.32,day
10/21/19,13,AllChange,9:26,12.98,PreSens,6.2,day
10/22/19,1,HighTemp,8:55,13.14,MOATS,5.9,day
10/22/19,2,AllChange,8:55,13.03,MOATS,5.801,day
10/22/19,3,Current,8:57,14.13,MOATS,5.802,day
10/22/19,4,Ambient,8:58,14.37,MOATS,8.588,day
10/22/19,5,Ambient,8:57,14.14,MOATS,7.762,day
10/22/19,6,HighTemp,8:58,13.01,MOATS,5.347,day
10/22/19,7,Current,8:50,11.2,MOATS,6.811,day
10/22/19,8,AllChange,8:50,13.25,MOATS,4.301,day
10/22/19,10,Current,8:51,11.21,MOATS,7.316,day
10/22/19,12,Current,8:52,11.21,MOATS,5.586,day
10/22/19,13,AllChange,8:53,12.95,MOATS,4.715,day
10/22/19,1,HighTemp,8:55,13.14,PreSens,6.51,day
10/22/19,2,AllChange,8:55,13.03,PreSens,6.8,day
10/22/19,3,Current,8:57,14.13,PreSens,6.82,day
10/22/19,4,Ambient,8:58,14.37,PreSens,8.62,day
10/22/19,5,Ambient,8:57,14.14,PreSens,8.6,day
10/22/19,6,HighTemp,8:58,13.01,PreSens,6.53,day
10/22/19,7,Current,8:50,11.2,PreSens,7.22,day
10/22/19,8,AllChange,8:50,13.25,PreSens,5.39,day
10/22/19,10,Current,8:51,11.21,PreSens,7.65,day
10/22/19,12,Current,8:52,11.21,PreSens,6.54,day
10/22/19,13,AllChange,8:53,12.95,PreSens,,day
10/23/19,1,HighTemp,9:18,13.14,MOATS,5.729,day
10/23/19,2,AllChange,9:19,12.98,MOATS,4.862,day
10/23/19,3,Current,9:19,13.36,MOATS,5.82,day
10/23/19,4,Ambient,9:17,13.38,MOATS,8.732,day
10/23/19,5,Ambient,9:17,13.38,MOATS,8.723,day
