Date,MOATS,Treatment,Time,Temp,Sensor,actualDOmg,Period
9/30/19,2,AllChange,15:34,13.79,MOATS,8.628,night
9/30/19,8,AllChange,16:02,13.86,MOATS,8.447,night
9/30/19,13,AllChange,16:23,13.8,MOATS,8.677,night
10/1/19,7,Current,18:18,12.02,MOATS,9.032,night
10/1/19,10,Current,18:13,12.01,MOATS,9.162,night
10/1/19,12,Current,18:13,12.01,MOATS,9.024,night
10/1/19,1,HighTemp,16:56,13.9,MOATS,8.757,night
10/1/19,3,Current,17:01,11.84,MOATS,8.877,night
10/1/19,4,Ambient,17:01,12.02,MOATS,9.03,night
10/1/19,5,AllChange,17:07,12.02,MOATS,8.56,night
10/1/19,6,HighTemp,17:02,13.88,MOATS,8.088,night
9/30/19,2,AllChange,15:34,13.79,PreSens,6.54,night
9/30/19,8,AllChange,16:02,13.86,PreSens,7.15,night
9/30/19,13,AllChange,16:23,13.8,PreSens,7.63,night
10/1/19,7,Current,18:18,12.02,PreSens,7.3,night
10/1/19,10,Current,18:13,12.01,PreSens,8.05,night
10/1/19,12,Current,18:13,12.01,PreSens,8.42,night
10/1/19,1,HighTemp,16:56,13.9,PreSens,6.87,night
10/1/19,3,Current,17:01,11.84,PreSens,8.41,night
10/1/19,4,Ambient,17:01,12.02,PreSens,9.05,night
10/1/19,5,AllChange,17:07,12.02,PreSens,8.35,night
10/1/19,6,HighTemp,17:02,13.88,PreSens,7.72,night
10/4/19,1,HighTemp,12:38,15.85,MOATS,8.496,night
10/4/19,2,AllChange,12:45,14.89,MOATS,8.096,night
10/4/19,3,Current,12:55,11.77,MOATS,8.989,night
10/4/19,4,Ambient,13:03,12.17,MOATS,8.979,night
10/4/19,5,Ambient,13:07,14.16,MOATS,8.151,night
10/4/19,6,HighTemp,13:12,14.16,MOATS,8.739,night
10/4/19,7,Current,13:21,12.08,MOATS,8.892,night
10/4/19,8,AllChange,13:27,14.43,MOATS,8.385,night
10/4/19,10,Current,13:36,12.06,MOATS,9.072,night
10/4/19,11,HighTemp,13:43,13.95,MOATS,9.192,night
10/4/19,12,Current,13:47,12.1,MOATS,9.116,night
10/4/19,13,AllChange,13:53,15.18,MOATS,8.554,night
10/4/19,1,HighTemp,12:38,15.85,PreSens,7.14,night
10/4/19,2,AllChange,12:45,14.89,PreSens,7.03,night
10/4/19,3,Current,12:55,11.77,PreSens,7.72,night
10/4/19,4,Ambient,13:03,12.17,PreSens,8.65,night
10/4/19,5,Ambient,13:07,14.16,PreSens,8.82,night
10/4/19,6,HighTemp,13:12,14.16,PreSens,6.93,night
10/4/19,7,Current,13:21,12.08,PreSens,7.35,night
10/4/19,8,AllChange,13:27,14.43,PreSens,6.62,night
10/4/19,10,Current,13:36,12.06,PreSens,7.64,night
10/4/19,11,HighTemp,13:43,13.95,PreSens,8.39,night
10/4/19,12,Current,13:47,12.1,PreSens,8.03,night
10/4/19,13,AllChange,13:53,15.18,PreSens,6.77,night
10/8/19,1,HighTemp,15:35,13.82,MOATS,8.888,night
10/8/19,2,AllChange,15:22,14.05,MOATS,8.63,night
10/8/19,3,Current,15:13,11.91,MOATS,8.989,night
10/8/19,4,Ambient,15:08,11.56,MOATS,8.99,night
10/8/19,5,Ambient,14:57,11.95,MOATS,8.08,night
10/8/19,6,HighTemp,14:47,13.89,MOATS,8.783,night
10/8/19,7,Current,14:42,12.01,MOATS,9.008,night
10/8/19,8,AllChange,14:33,14.01,MOATS,8.513,night
10/8/19,10,Current,14:26,12.09,MOATS,8.821,night
10/8/19,11,HighTemp,14:17,14.05,MOATS,9.147,night
10/8/19,12,Current,14:11,11.63,MOATS,9.092,night
10/8/19,13,AllChange,14:04,13.98,MOATS,8.567,night
10/8/19,1,HighTemp,15:35,13.82,PreSens,8.48,night
10/8/19,2,AllChange,15:22,14.05,PreSens,8.61,night
10/8/19,3,Current,15:13,11.91,PreSens,8.28,night
10/8/19,4,Ambient,15:08,11.56,PreSens,9.28,night
10/8/19,5,Ambient,14:57,11.95,PreSens,9.11,night
10/8/19,6,HighTemp,14:47,13.89,PreSens,7.87,night
10/8/19,7,Current,14:42,12.01,PreSens,8.37,night
10/8/19,8,AllChange,14:33,14.01,PreSens,7.88,night
10/8/19,10,Current,14:26,12.09,PreSens,8.59,night
10/8/19,11,HighTemp,14:17,14.05,PreSens,8.65,night
10/8/19,12,Current,14:11,11.63,PreSens,9.05,night
10/8/19,13,AllChange,14:04,13.98,PreSens,7.78,night
10/9/19,1,HighTemp,15:44,14.16,MOATS,8.885,night
10/9/19,6,HighTemp,15:46,14.51,MOATS,8.803,night
10/9/19,1,HighTemp,15:44,14.16,PreSens,8.11,night
10/9/19,6,HighTemp,15:46,14.51,PreSens,7.97,night
10/17/19,3,Current,15:10,11.82,MOATS,8.873,night
10/17/19,4,Ambient,15:12,11.7,MOATS,8.447,night
10/17/19,5,Ambient,15:12,11.7,MOATS,8.63,night
10/17/19,7,Current,15:13,11.98,MOATS,8.799,night
10/17/19,10,Current,15:13,12.05,MOATS,9.079,night
10/17/19,12,Current,15:14,11.76,MOATS,8.885,night
10/17/19,3,Current,15:10,11.82,PreSens,8.54,night
10/17/19,4,Ambient,15:12,11.7,PreSens,9.66,night
10/17/19,5,Ambient,15:12,11.7,PreSens,9.22,night
10/17/19,7,Current,15:13,11.98,PreSens,8.39,night
10/17/19,10,Current,15:13,12.05,PreSens,8.69,night
10/17/19,12,Current,15:14,11.76,PreSens,8.18,night
10/18/19,1,HighTemp,13:42,13.67,MOATS,8.558,night
10/18/19,2,AllChange,13:43,13.67,MOATS,7.142,night
10/18/19,3,Current,13:42,12.01,MOATS,8.768,night
10/18/19,4,Ambient,13:43,12.01,MOATS,8.768,night
10/18/19,5,Ambient,13:43,12.01,MOATS,8.136,night
10/18/19,6,HighTemp,13:45,13.02,MOATS,8.521,night
10/18/19,7,Current,13:45,10.84,MOATS,4.757,night
10/18/19,8,AllChange,13:47,13.95,MOATS,8.19,night
10/18/19,10,Current,13:48,11.42,MOATS,7.781,night
10/18/19,12,Current,13:49,11.02,MOATS,9.121,night
10/18/19,13,AllChange,13:49,12.93,MOATS,8.027,night
10/18/19,1,HighTemp,13:42,13.67,PreSens,6.61,night
10/18/19,2,AllChange,13:43,13.67,PreSens,7.45,night
10/18/19,3,Current,13:42,12.01,PreSens,8.19,night
10/18/19,4,Ambient,13:43,12.01,PreSens,8.47,night
10/18/19,5,Ambient,13:43,12.01,PreSens,8.5,night
10/18/19,6,HighTemp,13:45,13.02,PreSens,7.42,night
10/18/19,7,Current,13:45,10.84,PreSens,8.04,night
10/18/19,8,AllChange,13:47,13.95,PreSens,7.14,night
10/18/19,10,Current,13:48,11.42,PreSens,8.47,night
10/18/19,12,Current,13:49,11.02,PreSens,8.66,night
10/18/19,13,AllChange,13:49,12.93,PreSens,7.38,night
