Date,moats,treatment,time,aTemperature,TempSensor,DOSensor,Dissolved Oxygen,period,salinity
9/25/19,M13,allchange,9:10,13.6,orionCOND,PreSens,5.71,day,29.92
9/25/19,M12,current,9:12,11.6,orionCOND,PreSens,6.68,day,29.89
9/25/19,M11,hightemperature,9:16,13.1,orionCOND,PreSens,6.44,day,30.1
9/25/19,M10,current,9:24,11.5,orionCOND,PreSens,6.62,day,30.04
9/25/19,M08,allchange,9:29,13.1,orionCOND,PreSens,5.71,day,30.18
9/25/19,M07,current,9:39,11.5,orionCOND,PreSens,5.92,day,30.08
9/25/19,M06,hightemperature,9:43,13,orionCOND,PreSens,6.13,day,30.21
9/25/19,M05,ambient,9:54,12.4,orionCOND,PreSens,5.23,day,30.07
9/25/19,M13,allchange,9:11,12.92,fluke,PreSens,5.71,day,29.92
9/25/19,M12,current,9:13,11.17,fluke,PreSens,6.68,day,29.89
9/25/19,M11,hightemperature,9:17,12.79,fluke,PreSens,6.44,day,30.1
9/25/19,M10,current,9:25,11.22,fluke,PreSens,6.62,day,30.04
9/25/19,M08,allchange,9:30,12.99,fluke,PreSens,5.71,day,30.18
9/25/19,M07,current,9:40,12.26,fluke,PreSens,5.92,day,30.08
9/25/19,M06,hightemperature,9:44,12.94,fluke,PreSens,6.13,day,30.21
9/25/19,M05,ambient,9:55,12.12,fluke,PreSens,5.23,day,30.07
9/25/19,M13,allchange,9:12,12.92,fluke,SystemDOprobe,4.232,day,29.92
9/25/19,M12,current,9:14,11.17,fluke,SystemDOprobe,5.542,day,29.89
9/25/19,M11,hightemperature,9:19,12.79,fluke,SystemDOprobe,5.544,day,30.1
9/25/19,M10,current,9:26,11.22,fluke,SystemDOprobe,5.46,day,30.04
9/25/19,M08,allchange,9:31,12.99,fluke,SystemDOprobe,4.37,day,30.18
9/25/19,M07,current,9:41,12.26,fluke,SystemDOprobe,5.4,day,30.08
9/25/19,M06,hightemperature,9:45,12.94,fluke,SystemDOprobe,5.505,day,30.21
9/25/19,M05,ambient,9:56,12.12,fluke,SystemDOprobe,4.415,day,30.07
9/26/19,M01,hightemperature,9:51,13.08,omegaL,SystemDOprobe,5.3,day,n/a
9/26/19,M02,allchange,9:53,13.01,omegaL,SystemDOprobe,4.46,day,n/a
9/26/19,M03,current,9:56,11.09,omegaL,SystemDOprobe,5.66,day,n/a
9/26/19,M04,ambient,9:59,12.47,omegaL,SystemDOprobe,5.38,day,n/a
9/26/19,M01,hightemperature,9:52,13.08,omegaL,PreSens,5.71,day,n/a
9/26/19,M02,allchange,9:54,13.01,omegaL,PreSens,5.6,day,n/a
9/26/19,M03,current,9:57,11.09,omegaL,PreSens,6.49,day,n/a
9/26/19,M04,ambient,9:58,12.47,omegaL,PreSens,8.63,day,n/a
10/1/19,M08,allchange,9:54,12.81,omegaL,PreSens,5.71,day,n/a
10/1/19,M10,current,9:48,11.07,omegaL,PreSens,6.64,day,n/a
10/1/19,M12,current,9:45,10.86,omegaL,PreSens,6.64,day,n/a
10/1/19,M13,allchange,9:22,12.7,omegaL,PreSens,6.04,day,n/a
10/2/19,M01,hightemperature,8:31,12.58,omegaL,SystemDOprobe,5.331,day,30.39
10/2/19,M01,hightemperature,8:52,12.7,orionCOND,PreSens,5.55,day,30.39
10/2/19,M04,ambient,8:33,10.4,omegaL,SystemDOprobe,9.338,day,30.38
10/2/19,M04,ambient,8:59,10.5,orionCOND,PreSens,8.96,day,30.38
10/2/19,M05,ambient,8:35,10.4,omegaL,SystemDOprobe,9.338,day,30.6
10/2/19,M05,ambient,9:08,10.5,orionCOND,PreSens,8.96,day,30.6
10/2/19,M06,hightemperature,8:36,12.82,omegaL,SystemDOprobe,5.309,day,30.5
10/2/19,M06,hightemperature,9:18,12.8,orionCOND,PresSens,5.91,day,30.5
