Date,moats,treatment,time,ConductivitySensor,salinity
9/9/19,n/a,n/a,n/a,n/a,n/a
9/10/19,n/a,n/a,n/a,n/a,n/a
9/11/19,n/a,n/a,n/a,n/a,n/a
9/12/19,n/a,n/a,n/a,n/a,n/a
9/13/19,n/a,n/a,n/a,n/a,n/a
9/14/19,n/a,n/a,n/a,n/a,n/a
9/15/19,n/a,n/a,n/a,n/a,n/a
9/16/19,n/a,n/a,n/a,n/a,n/a
9/17/19,n/a,n/a,n/a,n/a,n/a
9/18/19,n/a,n/a,n/a,n/a,n/a
9/19/19,n/a,n/a,n/a,n/a,n/a
9/20/19,n/a,n/a,n/a,n/a,n/a
9/21/19,n/a,n/a,n/a,n/a,n/a
9/22/19,n/a,n/a,n/a,n/a,n/a
9/23/19,n/a,n/a,n/a,n/a,n/a
9/24/10,n/a,n/a,n/a,n/a,n/a
9/25/19,M13,allchange,9:10,orionCOND,29.92
9/25/19,M12,current,9:12,orionCOND,29.89
9/25/19,M11,hightemperature,9:16,orionCOND,30.1
9/25/19,M10,current,9:24,orionCOND,30.04
9/25/19,M08,allchange,9:29,orionCOND,30.18
9/25/19,M07,current,9:39,orionCOND,30.08
9/25/19,M06,hightemperature,9:43,orionCOND,30.21
9/25/19,M05,ambient,9:54,orionCOND,30.07
9/26/19,n/a,n/a,n/a,n/a,n/a
9/27/19,All,daily,10:40,orionCOND,30.05
9/27/19,All,daily,10:42,Q46CTtoroidal,28.8
9/28/19,All,daily,12:25,orionCOND,30.2
9/28/19,All,daily,12:30,Q46CTtoroidal,28.8
9/30/19,All,daily,15:45,orionCOND,30.28
9/30/19,All,daily,15:49,Q46CTtoroidal,30
10/1/19,M07,current,18:23,orionCOND,30.56
10/1/19,M10,current,18:38,orionCOND,30.59
10/1/19,M12,current,18:13,orionCOND,30.65
10/1/19,All,daily,16:22,orionCOND,30.36
10/2/19,M01,hightemperature,8:52,orionCOND,30.39
10/2/19,M04,ambient,8:59,orionCOND,30.38
10/2/19,M05,ambient,9:08,orionCOND,30.6
10/2/19,M06,hightemperature,9:18,orionCOND,30.5
10/2/19,M03,current,9:21,orionCOND,30.41
10/2/19,M07,current,9:27,orionCOND,30.41
10/2/19,M10,current,9:29,orionCOND,30.41
10/2/19,M12,current,9:31,orionCOND,30.41
10/2/19,M02,allchange,17:46,orionCOND,30.53
10/2/19,M08,allchange,18:09,orionCOND,30.53
10/2/19,M13,allchange,18:12,orionCOND,30.5
10/2/19,All,daily,18:50,orionCOND,30.35
10/3/19,n/a,n/a,n/a,n/a,n/a
10/4/19,M01,hightemperature,8:11,orionCOND,30.47
10/4/19,M02,allchange,8:31,orionCOND,30.43
10/4/19,M03,current,9:31,orionCOND,30.26
10/4/19,M04,ambient,9:45,orionCOND,30.4
10/4/19,M05,ambient,9:49,orionCOND,30.4
10/4/19,M06,hightemperature,8:21,orionCOND,30.47
10/4/19,M07,current,9:25,orionCOND,30.38
10/4/19,M08,allchange,8:41,orionCOND,30.37
10/4/19,M10,current,9:05,orionCOND,30.37
10/4/19,M11,hightemperature,9:56,orionCOND,30.5
10/4/19,M12,current,8:59,orionCOND,30.43
10/4/19,M13,allchange,8:51,orionCOND,30.48
10/4/19,M01,hightemperature,12:39,orionCOND,30.14
10/4/19,M02,allchange,12:46,orionCOND,30.4
10/4/19,M03,current,12:56,orionCOND,30.32
10/4/19,M04,ambient,13:04,orionCOND,30.39
10/4/19,M05,ambient,13:08,orionCOND,30.48
10/4/19,M06,hightemperature,13:13,orionCOND,30.66
10/4/19,M07,current,13:22,orionCOND,30.35
10/4/19,M08,allchange,13:28,orionCOND,30.6
10/4/19,M10,current,13:37,orionCOND,30.37
10/4/19,M11,hightemperature,13:44,orionCOND,30.7
10/4/19,M12,current,13:48,orionCOND,30.37
10/4/19,M13,allchange,13:54,orionCOND,30.66
10/4/19,All,daily,11:00,orionCOND,30.43
10/5/19,n/a,n/a,n/a,n/a,n/a
10/6/19,n/a,n/a,n/a,n/a,n/a
10/7/19,M01,hightemperature,8:26,orionCOND,30.02
10/7/19,M02,allchange,8:37,orionCOND,30.44
10/7/19,M03,current,8:47,orionCOND,30.46
10/7/19,M04,ambient,10:11,orionCOND,30.38
10/7/19,M05,ambient,10:16,orionCOND,30.49
10/7/19,M06,hightemperature,8:56,orionCOND,30.66
10/7/19,M07,current,9:06,orionCOND,30.41
10/7/19,M08,allchange,9:16,orionCOND,30.57
10/7/19,M10,current,9:28,orionCOND,30.42
10/7/19,M11,hightemperature,10:06,orionCOND,30.46
10/7/19,M12,current,9:38,orionCOND,30.53
10/7/19,M13,allchange,9:48,orionCOND,30.63
10/7/19,M01,hightemperature,15:36,orionCOND,30.39
10/7/19,M02,allchange,15:23,orionCOND,30.43
10/7/19,M03,current,15:14,orionCOND,30.3
10/7/19,M04,ambient,15:08,orionCOND,30.34
10/7/19,M05,ambient,14:58,orionCOND,30.27
10/7/19,M06,hightemperature,14:48,orionCOND,30.47
10/7/19,M07,current,14:43,orionCOND,30.24
10/7/19,M08,allchange,14:34,orionCOND,30.42
10/7/19,M10,current,14:27,orionCOND,30.25
10/7/19,M11,hightemperature,14:18,orionCOND,30.57
10/7/19,M12,current,14:12,orionCOND,30.11
10/7/19,M13,allchange,14:05,orionCOND,30.22
10/7/19,All,daily,9:45,orionCOND,30.36
10/7/19,All,daily,9:50,Q46CTtoroidal,29.9
10/8/19,All,daily,13:45,orionCOND,30.02
10/8/19,All,daily,13:50,Q46CTtoroidal,29.9
10/9/19,All,daily,16:00,orionCOND,30.05
10/9/19,All,daily,16:05,Q46CTtoroidal,29.9
10/10/19,M01,hightemperature,15:45,orionCOND,30.05
10/10/19,M06,hightemperature,15:47,orionCOND,30.44
10/11/19,n/a,n/a,n/a,n/a,n/a
10/12/19,All,daily,14:52,orionCOND,30.18
10/13/19,n/a,n/a,n/a,n/a,n/a
10/14/19,n/a,n/a,n/a,n/a,n/a
10/15/19,n/a,n/a,n/a,n/a,n/a
10/16/19,All,daily,15:00,orionCOND,30.35
10/16/19,All,daily,15:05,Q46CTtoroidal,29.7
10/17/19,M02,allchange,9:25,orionCOND,30.05
10/17/19,M08,allchange,9:27,orionCOND,30.18
10/17/19,M13,allchange,9:30,orionCOND,30.62
10/17/19,M03,current,15:11,orionCOND,30.07
10/17/19,M04,ambient,15:13,orionCOND,30.39
10/17/19,M05,ambient,15:12,orionCOND,30.33
10/17/19,M07,current,15:13,orionCOND,30.32
10/17/19,M10,current,15:13,orionCOND,30.35
10/17/19,M12,current,15:14,orionCOND,30.59
10/17/19,all,daily,9:50,orionCOND,30.62
10/17/19,all,daily,9:55,Q46CTtoroidal,29.7
10/18/19,M01,hightemperature,9:31,orionCOND,30.02
10/18/19,M02,allchange,9:38,orionCOND,30.48
10/18/19,M06,hightemperature,9:31,orionCOND,30.28
10/18/19,M08,allchange,9:41,orionCOND,30.45
10/18/19,M13,allchange,9:41,orionCOND,30.44
10/18/19,M01,hightemperature,13:42,orionCOND,30.02
10/18/19,all,daily,9:50,orionCOND,30.48
10/18/19,all,daily,9:55,Q46CTtoroidal,29.8
10/19/19,n/a,n/a,n/a,n/a,n/a
10/20/19,n/a,n/a,n/a,n/a,n/a
10/21/19,M01,hightemperature,9:22,orionCOND,30
10/21/19,M02,allchange,9:23,orionCOND,30.48
10/21/19,M06,hightemperature,9:22,orionCOND,30.48
10/21/19,M08,allchange,9:25,orionCOND,30.49
10/21/19,M13,allchange,9:26,orionCOND,30.53
10/21/19,all,daily,9:40,orionCOND,30.45
10/21/19,all,daily,9:45,Q46CTtoroidal,29.8
10/22/19,M01,hightemperature,8:55,orionCOND,30.54
10/22/19,M03,current,8:57,orionCOND,30.68
10/22/19,M04,ambient,8:58,orionCOND,30.68
10/22/19,M05,ambient,8:57,orionCOND,30.68
10/22/19,all,daily,10:15,orionCOND,30.28
10/22/19,all,daily,10:20,Q46CTtoroidal,29.7
10/23/19,M01,hightemperature,9:18,orionCOND,30.35
10/23/19,M02,allchange,9:19,orionCOND,30.46
10/23/19,M03,current,9:19,orionCOND,30.52
10/23/19,M04,ambient,9:17,orionCOND,30.36
10/23/19,M05,ambient,9:17,orionCOND,30.37
10/23/19,M06,hightemperature,9:17,orionCOND,30.31
10/23/19,M07,current,9:15,orionCOND,30.35
10/23/19,M08,allchange,9:17,orionCOND,30.34
10/23/19,M10,current,9:18,orionCOND,30.36
10/23/19,M12,current,9:16,orionCOND,30.52
10/23/19,M13,allchange,9:20,orionCOND,30.35
10/23/19,all,daily,9:50,orionCOND,30.32
10/23/19,all,daily,9:55,Q46CTtoroidal,29.6
10/24/19,n/a,n/a,n/a,n/a,n/a
10/25/19,all,daily,9:55,orionCOND,30.29
10/25/19,all,daily,10:00,Q46CTtoroidal,29.7
10/26/19,n/a,n/a,n/a,n/a,n/a
10/27/19,all,daily,15:00,orionCOND,30.38
10/27/19,all,daily,15:05,Q46CTtoroidal,29.8
10/28/19,all,daily,9:15,orionCOND,30.35
10/28/19,all,daily,9:20,Q46CTtoroidal,29.8
10/29/19,all,daily,9:55,orionCOND,30.35
10/29/19,all,daily,10:00,Q46CTtoroidal,29.6
10/30/19,all,daily,9:40,orionCOND,30.35
10/30/19,all,daily,9:45,Q46CTtoroidal,29.8
10/31/19,n/a,n/a,n/a,n/a,n/a
